"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Saturday Night - DJ Deepak,Nightlife - ,Skyye,Vittal Mallya Road,Mar 21,
Saturday Night Fever at Sky Brew,Nightlife - ,Sky Brew,New BEL Road,Mar 21,
Saturday Night - Christ Burstein,Nightlife - ,The Tao Terraces,M.G Road,Mar 21,
One Nite Stand - Live at Hard Rock Cafe,Theatre & Arts - ,Hard Rock Cafe,St. Marks Road,Mar 21 - Mar 22,
Saturday Night - DJ TT,Nightlife - ,ICE Bar - Vivanta By Taj,M.G Road,Mar 21,
Saturday Night - D-Men,Nightlife - ,The Warehouse,Indira Nagar,Mar 21,
Social Night - Su Real,Nightlife - ,Social,Church Street,Mar 21,
Wild Party Night - DJ Dr.A & DJ MK,Nightlife - ,OKO - The Rooftop Pan-Asian Restaurant,Kumara Krupa Road,Mar 21,
Future Underground feat Johnny Deep [UK],Nightlife - ,CounterCulture,Whitefield,Mar 21,
Saturday Night - DJ Jay aka Brainwash,Nightlife - ,Loft 38,Indira Nagar,Mar 21,
Saturday Bass Busters with DJ Vipul Khurana,Nightlife - ,Sutra The Lounge,Sampangirama Nagar,Mar 21,
White Mug Live,Music & Concerts,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 21,
Red Carpet Night - DJ Ivan,Nightlife - ,Sanctum Club,Residency Road,Mar 21,
Jus' Improv with the Improv Brew,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 21,
Hip Hop Night with DJ Vachan Chinnappa,Nightlife - ,Opus,Palace Road,Mar 21,
Soundscapes Live In Concert,Music & Concerts,Phoenix Market City,Mahadevapura,Mar 21,
Sensation Night - Joshi,Nightlife - ,The Sugar Factory - Le Meridien,Sankey Road,Mar 21,
Blockbuster Holly-Bollywood Thodu Night with DJ Sash & DJ Julius,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 21,
'Keep The Beat' Ft. Projekt freedrum & DJ Ron Phillip,Nightlife - ,FIAT Cafe,Koramangala,Mar 21,
Saturday Night - BLaNK & Sapta,Nightlife - ,The Humming Tree,Indira Nagar,Mar 21,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
Maryade Prashne - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 21,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
Indigo Vibes with Rohit Barker,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 21,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Ladies Night @ Zanzibar,Nightlife - ,ZanziBar,Madivala,Jan 21 - Dec 31,
Sunday Sundowners at The Bang,Nightlife - ,Bang - The Ritz-Carlton,Residency Road,Mar 22,
"Monthly Music Concert by Vidushi, Dr. Hamsini Nagendra",Music & Concerts,Unnati Centre,Sadananda Nagar,Mar 22,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 22,
Apoorva Raaga Darshini - 2 - Vocal by Vidwan R.K.Padmanabha,Music & Concerts - ,Ananya Sabhangana,Malleswaram,Mar 22,
Bharatanatya Rangapravesha,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 22,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Ranga Ugadi - In memory of U R Anantamurthy,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Mouni - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Avasthe - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Sooryana Kudure - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Ananta Katha Samaya - Story Reading,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
event,type,place,place1,date,time
Womens Day Exhibition: Ruchika K C,Arts & Crafts,Urban Solace, Ulsoor,"Mar 21, 2015 ",11:00 AM AM to 11:00 PM AM
Francophonie Festival,Lifestyle,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 21, 2015 ",10:00 AM AM Onwards
Bengali Food Festival,Food & Drink,The Eatery, Whitefield,"Mar 21, 2015 ",07:00 PM AM to 11:00 PM AM
Ranga Ugadi: Mouni and Sooryana Kudure,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 22, 2015",11:00 AM AM Onwards
Ranga Ugadi: Avasthe,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 22, 2015",07:30 PM AM Onwards
Manhar Udhas: Live,Music & Dance,Chowdiah Memorial Hall, Malleshwaram,"Mar 22, 2015",05:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Blockbuster Holly-Bollywood Thodu Night with DJ Sash & DJ Julius,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 21,
Saturday Bass Busters with DJ Vipul Khurana,Nightlife - ,Sutra The Lounge,Sampangirama Nagar,Mar 21,
Saturday Night Fever at Sky Brew,Nightlife - ,Sky Brew,New BEL Road,Mar 21,
White Mug Live,Music & Concerts,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 21,
Jus' Improv with the Improv Brew,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 21,
Future Underground feat Johnny Deep [UK],Nightlife - ,CounterCulture,Whitefield,Mar 21,
Wild Party Night - DJ Dr.A & DJ MK,Nightlife - ,OKO - The Rooftop Pan-Asian Restaurant,Kumara Krupa Road,Mar 21,
Soundscapes Live In Concert,Music & Concerts,Phoenix Market City,Mahadevapura,Mar 21,
Saturday Night - DJ TT,Nightlife - ,ICE Bar - Vivanta By Taj,M.G Road,Mar 21,
House Night - Answer,Nightlife - ,Pebble - The Jungle Lounge,Sadashiva Nagar,Mar 21,
Sensation Night - Joshi,Nightlife - ,The Sugar Factory - Le Meridien,Sankey Road,Mar 21,
Red Carpet Night - DJ Ivan,Nightlife - ,Sanctum Club,Residency Road,Mar 21,
Saturday Night - DJ Deepak,Nightlife - ,Skyye,Vittal Mallya Road,Mar 21,
Saturday Night - D-Men,Nightlife - ,The Warehouse,Indira Nagar,Mar 21,
Saturday Night - Christ Burstein,Nightlife - ,The Tao Terraces,M.G Road,Mar 21,
Saturday Night - BLaNK & Sapta,Nightlife - ,The Humming Tree,Indira Nagar,Mar 21,
'Keep The Beat' Ft. Projekt freedrum & DJ Ron Phillip,Nightlife - ,FIAT Cafe,Koramangala,Mar 21,
Saturday Night - DJ Jay aka Brainwash,Nightlife - ,Loft 38,Indira Nagar,Mar 21,
Hip Hop Night with DJ Vachan Chinnappa,Nightlife - ,Opus,Palace Road,Mar 21,
Social Night - Su Real,Nightlife - ,Social,Church Street,Mar 21,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
Maryade Prashne - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 21,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
Indigo Vibes with Rohit Barker,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 21,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Ladies Night @ Zanzibar,Nightlife - ,ZanziBar,Madivala,Jan 21 - Dec 31,
Relaxers Night - DJ Deepak,Nightlife - ,Skyye,Vittal Mallya Road,Mar 22,
United We Brunch Night - DJ Blaque & DJ Preetham,Nightlife - ,Blue Bar,Race Course Road,Mar 22,
Apoorva Raaga Darshini - 2 - Vocal by Vidwan R.K.Padmanabha,Music & Concerts - ,Ananya Sabhangana,Malleswaram,Mar 22,
Bharatanatya Rangapravesha,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 22,
Sunday Sundowners at The Bang,Nightlife - ,Bang - The Ritz-Carlton,Residency Road,Mar 22,
Funday Night - - DJ Viju,Nightlife - ,Amoeba Sports Bar,Kodi Halli,Mar 22,
Underground Movement Night - Vachan Chinnappa,Nightlife - ,The Warehouse,Indira Nagar,Mar 22,
"Monthly Music Concert by Vidushi, Dr. Hamsini Nagendra",Music & Concerts,Unnati Centre,Sadananda Nagar,Mar 22,
Sundaze Night - Rishi Sippy,Nightlife - ,The Tao Terraces,M.G Road,Mar 22,
Sunday Night - The Good & Others,Nightlife - ,Down Town,Residency Road,Mar 22,
Bollywood Night - DJ Hussain,Nightlife - ,Sanctum Club,Residency Road,Mar 22,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Ranga Ugadi 2015: Avasthe - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Ananta Kaavya - Poetry Reading,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Ananta Katha Samaya - Story Reading,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi - In memory of U R Anantamurthy,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Sooryana Kudure - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Mouni - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
event,type,place,place1,date,time
Womens Day Exhibition: Ruchika K C,Arts & Crafts,Urban Solace, Ulsoor,"Mar 21, 2015 ",11:00 AM AM to 11:00 PM AM
Francophonie Festival,Lifestyle,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 21, 2015 ",10:00 AM AM Onwards
Bengali Food Festival,Food & Drink,The Eatery, Whitefield,"Mar 21, 2015 ",07:00 PM AM to 11:00 PM AM
Ranga Ugadi: Mouni and Sooryana Kudure,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 22, 2015",11:00 AM AM Onwards
Ranga Ugadi: Avasthe,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 22, 2015",07:30 PM AM Onwards
Manhar Udhas: Live,Music & Dance,Chowdiah Memorial Hall, Malleshwaram,"Mar 22, 2015",05:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Blockbuster Holly-Bollywood Thodu Night with DJ Sash & DJ Julius,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 21,
Saturday Bass Busters with DJ Vipul Khurana,Nightlife - ,Sutra The Lounge,Sampangirama Nagar,Mar 21,
Saturday Night Fever at Sky Brew,Nightlife - ,Sky Brew,New BEL Road,Mar 21,
White Mug Live,Music & Concerts,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 21,
Jus' Improv with the Improv Brew,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 21,
Future Underground feat Johnny Deep [UK],Nightlife - ,CounterCulture,Whitefield,Mar 21,
Wild Party Night - DJ Dr.A & DJ MK,Nightlife - ,OKO - The Rooftop Pan-Asian Restaurant,Kumara Krupa Road,Mar 21,
Soundscapes Live In Concert,Music & Concerts,Phoenix Market City,Mahadevapura,Mar 21,
Saturday Night - DJ TT,Nightlife - ,ICE Bar - Vivanta By Taj,M.G Road,Mar 21,
House Night - Answer,Nightlife - ,Pebble - The Jungle Lounge,Sadashiva Nagar,Mar 21,
Sensation Night - Joshi,Nightlife - ,The Sugar Factory - Le Meridien,Sankey Road,Mar 21,
Red Carpet Night - DJ Ivan,Nightlife - ,Sanctum Club,Residency Road,Mar 21,
Saturday Night - DJ Deepak,Nightlife - ,Skyye,Vittal Mallya Road,Mar 21,
Saturday Night - D-Men,Nightlife - ,The Warehouse,Indira Nagar,Mar 21,
Saturday Night - Christ Burstein,Nightlife - ,The Tao Terraces,M.G Road,Mar 21,
Saturday Night - BLaNK & Sapta,Nightlife - ,The Humming Tree,Indira Nagar,Mar 21,
'Keep The Beat' Ft. Projekt freedrum & DJ Ron Phillip,Nightlife - ,FIAT Cafe,Koramangala,Mar 21,
Saturday Night - DJ Jay aka Brainwash,Nightlife - ,Loft 38,Indira Nagar,Mar 21,
Hip Hop Night with DJ Vachan Chinnappa,Nightlife - ,Opus,Palace Road,Mar 21,
Social Night - Su Real,Nightlife - ,Social,Church Street,Mar 21,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
Maryade Prashne - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 21,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
Indigo Vibes with Rohit Barker,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 21,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Ladies Night @ Zanzibar,Nightlife - ,ZanziBar,Madivala,Jan 21 - Dec 31,
Relaxers Night - DJ Deepak,Nightlife - ,Skyye,Vittal Mallya Road,Mar 22,
United We Brunch Night - DJ Blaque & DJ Preetham,Nightlife - ,Blue Bar,Race Course Road,Mar 22,
Apoorva Raaga Darshini - 2 - Vocal by Vidwan R.K.Padmanabha,Music & Concerts - ,Ananya Sabhangana,Malleswaram,Mar 22,
Bharatanatya Rangapravesha,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 22,
Sunday Sundowners at The Bang,Nightlife - ,Bang - The Ritz-Carlton,Residency Road,Mar 22,
Funday Night - - DJ Viju,Nightlife - ,Amoeba Sports Bar,Kodi Halli,Mar 22,
Underground Movement Night - Vachan Chinnappa,Nightlife - ,The Warehouse,Indira Nagar,Mar 22,
"Monthly Music Concert by Vidushi, Dr. Hamsini Nagendra",Music & Concerts,Unnati Centre,Sadananda Nagar,Mar 22,
Sundaze Night - Rishi Sippy,Nightlife - ,The Tao Terraces,M.G Road,Mar 22,
Sunday Night - The Good & Others,Nightlife - ,Down Town,Residency Road,Mar 22,
Bollywood Night - DJ Hussain,Nightlife - ,Sanctum Club,Residency Road,Mar 22,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Ranga Ugadi 2015: Avasthe - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Ananta Kaavya - Poetry Reading,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Ananta Katha Samaya - Story Reading,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi - In memory of U R Anantamurthy,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Sooryana Kudure - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Mouni - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
event,type,place,place1,date,time
Womens Day Exhibition: Ruchika K C,Arts & Crafts,Urban Solace, Ulsoor,"Mar 21, 2015 ",11:00 AM AM to 11:00 PM AM
Francophonie Festival,Lifestyle,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 21, 2015 ",10:00 AM AM Onwards
Bengali Food Festival,Food & Drink,The Eatery, Whitefield,"Mar 21, 2015 ",07:00 PM AM to 11:00 PM AM
Ranga Ugadi: Mouni and Sooryana Kudure,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 22, 2015",11:00 AM AM Onwards
Ranga Ugadi: Avasthe,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 22, 2015",07:30 PM AM Onwards
Manhar Udhas: Live,Music & Dance,Chowdiah Memorial Hall, Malleshwaram,"Mar 22, 2015",05:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Hoteliers Night - DJ Vicky,Nightlife - ,I-Bar - The Park,M.G Road,Mar 23,
Every Monday Mashup Night,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 23,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
event,type,place,place1,date,time
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 22, 2015 ",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 22, 2015 ",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 22, 2015 ",04:00 PM AM Onwards
